trip_name,counts
San Francisco Caltrain 2 (330 Townsend) - Post at Kearny,762
2nd at Townsend - Townsend at 7th,751
Steuart at Market - Broadway St at Battery St,743
San Francisco Caltrain 2 (330 Townsend) - Market at 4th,740
Temporary Transbay Terminal (Howard at Beale) - Clay at Battery,736
Evelyn Park and Ride - Mountain View Caltrain Station,728
Harry Bridges Plaza (Ferry Building) - Harry Bridges Plaza (Ferry Building),726
Embarcadero at Sansome - Davis at Jackson,724
2nd at South Park - Market at Sansome,723
Embarcadero at Folsom - Embarcadero at Sansome,718
Embarcadero at Sansome - Beale at Market,715
2nd at South Park - San Francisco Caltrain (Townsend at 4th),696
2nd at Townsend - Embarcadero at Folsom,694
San Francisco Caltrain (Townsend at 4th) - Powell Street BART,688
5th at Howard - San Francisco Caltrain (Townsend at 4th),678
2nd at Townsend - Temporary Transbay Terminal (Howard at Beale),678
Spear at Folsom - San Francisco Caltrain (Townsend at 4th),677
San Francisco Caltrain 2 (330 Townsend) - Davis at Jackson,670
2nd at Townsend - Embarcadero at Sansome,667
Market at Sansome - Commercial at Montgomery,651
Temporary Transbay Terminal (Howard at Beale) - Embarcadero at Sansome,650
Market at Sansome - Grant Avenue at Columbus Avenue,649
Steuart at Market - Howard at 2nd,647
Market at 4th - Embarcadero at Sansome,646
2nd at Townsend - Clay at Battery,646
South Van Ness at Market - Powell Street BART,636
San Jose Diridon Caltrain Station - San Jose City Hall,629
San Francisco Caltrain 2 (330 Townsend) - Mechanics Plaza (Market at Battery),629
Embarcadero at Sansome - Clay at Battery,625
Harry Bridges Plaza (Ferry Building) - Embarcadero at Bryant,624
Ryland Park - San Jose Diridon Caltrain Station,619
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Sansome,619
Temporary Transbay Terminal (Howard at Beale) - Market at Sansome,615
Embarcadero at Bryant - Embarcadero at Folsom,598
Market at Sansome - Embarcadero at Sansome,595
2nd at Townsend - Spear at Folsom,593
Market at 10th - San Francisco Caltrain 2 (330 Townsend),591
San Jose Diridon Caltrain Station - St James Park,587
San Francisco Caltrain 2 (330 Townsend) - Commercial at Montgomery,583
Temporary Transbay Terminal (Howard at Beale) - South Van Ness at Market,583
Steuart at Market - Market at Sansome,581
Embarcadero at Sansome - 2nd at Townsend,580
Mechanics Plaza (Market at Battery) - Broadway St at Battery St,577
Townsend at 7th - Temporary Transbay Terminal (Howard at Beale),568
Temporary Transbay Terminal (Howard at Beale) - San Francisco Caltrain (Townsend at 4th),565
Market at 10th - San Francisco Caltrain (Townsend at 4th),563
Embarcadero at Sansome - Embarcadero at Vallejo,558
Beale at Market - Embarcadero at Sansome,557
Davis at Jackson - 2nd at Townsend,556
Embarcadero at Bryant - Embarcadero at Sansome,556
San Francisco Caltrain 2 (330 Townsend) - Clay at Battery,554
Redwood City Caltrain Station - Stanford in Redwood City,552
2nd at Townsend - Beale at Market,551
Davis at Jackson - Commercial at Montgomery,548
Steuart at Market - Townsend at 7th,548
Broadway St at Battery St - San Francisco Caltrain (Townsend at 4th),543
2nd at Townsend - 2nd at Folsom,536
2nd at South Park - Howard at 2nd,532
Embarcadero at Folsom - San Francisco Caltrain (Townsend at 4th),532
Steuart at Market - 2nd at South Park,526
San Jose Diridon Caltrain Station - MLK Library,526
Temporary Transbay Terminal (Howard at Beale) - 2nd at Folsom,525
2nd at Townsend - Broadway St at Battery St,524
Steuart at Market - Market at 10th,522
Mountain View City Hall - Mountain View Caltrain Station,522
Steuart at Market - Embarcadero at Bryant,518
Civic Center BART (7th at Market) - San Francisco Caltrain 2 (330 Townsend),516
Harry Bridges Plaza (Ferry Building) - Embarcadero at Vallejo,515
Embarcadero at Bryant - Mechanics Plaza (Market at Battery),514
Temporary Transbay Terminal (Howard at Beale) - Civic Center BART (7th at Market),512
Townsend at 7th - Powell Street BART,504
Market at 10th - Mechanics Plaza (Market at Battery),501
Powell Street BART - South Van Ness at Market,495
Market at Sansome - San Francisco Caltrain (Townsend at 4th),494
2nd at Townsend - Embarcadero at Vallejo,493
