station_id,name,morn_bikes_zero_pct,morn_docks_zero_pct
87,,1.0,1.0
70,San Francisco Caltrain (Townsend at 4th),0.8418367346938775,0.2653061224489796
55,Temporary Transbay Terminal (Howard at Beale),0.5829081632653061,0.06887755102040816
69,San Francisco Caltrain 2 (330 Townsend),0.5637755102040817,0.3048469387755102
73,Grant Avenue at Columbus Avenue,0.48214285714285715,0.27168367346938777
50,Harry Bridges Plaza (Ferry Building),0.4387755102040816,0.15178571428571427
54,Embarcadero at Bryant,0.40816326530612246,0.09693877551020408
60,Embarcadero at Sansome,0.3278061224489796,0.20535714285714285
62,2nd at Folsom,0.2937420178799489,0.002554278416347382
65,Townsend at 7th,0.2857142857142857,0.3762755102040816
71,Powell at Post (Union Square),0.2423469387755102,0.0778061224489796
67,Market at 10th,0.24107142857142858,0.003826530612244898
82,Broadway St at Battery St,0.2143906020558003,0.12922173274596183
45,Commercial at Montgomery,0.21301020408163265,0.15051020408163265
74,Steuart at Market,0.20280612244897958,0.09948979591836735
72,Civic Center BART (7th at Market),0.19387755102040816,0.03188775510204082
41,Clay at Battery,0.1568877551020408,0.10459183673469388
56,Beale at Market,0.15433673469387754,0.058673469387755105
48,Embarcadero at Vallejo,0.15051020408163265,0.24744897959183673
66,South Van Ness at Market,0.1364795918367347,0.02040816326530612
64,2nd at South Park,0.1326530612244898,0.27933673469387754
51,Embarcadero at Folsom,0.13043478260869565,0.15089514066496162
57,5th at Howard,0.11862244897959184,0.16326530612244897
75,Mechanics Plaza (Market at Battery),0.10586734693877552,0.05739795918367347
59,Golden Gate at Polk,0.10331632653061225,0.002551020408163265
61,2nd at Townsend,0.10204081632653061,0.08163265306122448
76,Market at 4th,0.09566326530612244,0.0548469387755102
39,Powell Street BART,0.08928571428571429,0.047193877551020405
42,Davis at Jackson,0.08545918367346939,0.06760204081632654
63,Howard at 2nd,0.08545918367346939,0.22193877551020408
49,Spear at Folsom,0.07270408163265306,0.02423469387755102
32,Castro Street and El Camino Real,0.06169296987087518,0.015781922525107604
58,San Francisco City Hall,0.04974489795918367,0.0
46,Washington at Kearney,0.044642857142857144,0.02040816326530612
47,Post at Kearney,0.042091836734693876,0.02423469387755102
68,Yerba Buena Center of the Arts (3rd @ Howard),0.036989795918367346,0.08035714285714286
28,Mountain View Caltrain Station,0.03571428571428571,0.011479591836734694
4,Santa Clara at Almaden,0.03443877551020408,0.0663265306122449
2,San Jose Diridon Caltrain Station,0.03188775510204082,0.011479591836734694
22,Redwood City Caltrain Station,0.02702702702702703,0.0
27,Mountain View City Hall,0.026785714285714284,0.03188775510204082
84,Ryland Park,0.0256,0.0128
77,Market at Sansome,0.025510204081632654,0.08035714285714286
37,Cowper at University,0.016581632653061226,0.01403061224489796
6,San Pedro Square,0.01403061224489796,0.016581632653061226
34,Palo Alto Caltrain Station,0.01403061224489796,0.0
10,San Jose City Hall,0.011479591836734694,0.0012755102040816326
11,MLK Library,0.011479591836734694,0.003826530612244898
30,Middlefield Light Rail Station,0.011479591836734694,0.006377551020408163
33,Charleston Park/ North Bayshore Area,0.011479591836734694,0.0
5,Adobe on Almaden,0.01020408163265306,0.0
13,St James Park,0.008928571428571428,0.0012755102040816326
7,Paseo de San Antonio,0.007653061224489796,0.017857142857142856
31,San Antonio Shopping Center,0.007173601147776184,0.00430416068866571
29,San Antonio Caltrain Station,0.006377551020408163,0.0
35,University and Emerson,0.006377551020408163,0.01913265306122449
24,Redwood City Public Library,0.005154639175257732,0.0
21,Franklin at Maple,0.004054054054054054,0.0
25,Stanford in Redwood City,0.003978779840848806,0.010610079575596816
83,Mezes Park,0.0032520325203252032,0.0
80,Santa Clara County Civic Center,0.0028694404591104736,0.0014347202295552368
26,Redwood City Medical Center,0.002652519893899204,0.0
9,Japantown,0.002551020408163265,0.003826530612244898
12,SJSU 4th at San Carlos,0.002551020408163265,0.0012755102040816326
14,Arena Green / SAP Center,0.002551020408163265,0.0
16,SJSU - San Salvador at 9th,0.002551020408163265,0.0012755102040816326
3,San Jose Civic Center,0.0012755102040816326,0.007653061224489796
8,San Salvador at 1st,0.0012755102040816326,0.003826530612244898
38,Park at Olive,0.0012755102040816326,0.0
23,San Mateo County Center,0.0,0.002577319587628866
36,California Ave Caltrain Station,0.0,0.007653061224489796
91,Cyril Magnin St at Ellis St,0.0,0.0
90,5th St at Folsom St,0.0,0.0
88,5th S. at E. San Salvador St,0.0,0.0
89,S. Market st at Park Ave,0.0,0.0
