hour,trip_count
0,659
1,480
2,328
3,154
4,123
5,212
6,693
7,2194
8,4728
9,5535
10,6664
11,9010
12,10191
13,10534
14,10388
15,10625
16,10725
17,9998
18,7673
19,4858
20,3207
21,2444
22,2004
23,1229
